track_id,split,time_sec,audio_path,label_path,valence,arousal,valid,segment_index,segment_label
deam_0076,test,15.5,data/audio_wav/deam_0076.wav,data/labels_1hz,-0.2082732,-0.2222686,1,1,intro
deam_0076,test,16.5,data/audio_wav/deam_0076.wav,data/labels_1hz,-0.2039637,-0.2323929,1,1,intro
deam_0076,test,17.5,data/audio_wav/deam_0076.wav,data/labels_1hz,-0.2015555,-0.2192713,1,1,intro
deam_0076,test,18.5,data/audio_wav/deam_0076.wav,data/labels_1hz,-0.1911237,-0.2319013,1,1,intro
deam_0076,test,19.5,data/audio_wav/deam_0076.wav,data/labels_1hz,-0.1871275,-0.2291478,1,1,intro
deam_0076,test,20.5,data/audio_wav/deam_0076.wav,data/labels_1hz,-0.2228428,-0.2173048,1,2,intro
deam_0076,test,21.5,data/audio_wav/deam_0076.wav,data/labels_1hz,-0.2440923,-0.1909657,1,2,intro
deam_0076,test,22.5,data/audio_wav/deam_0076.wav,data/labels_1hz,-0.2538846,-0.1893916,1,2,intro
deam_0076,test,23.5,data/audio_wav/deam_0076.wav,data/labels_1hz,-0.2718637,-0.1762011,1,2,intro
deam_0076,test,24.5,data/audio_wav/deam_0076.wav,data/labels_1hz,-0.2776729,-0.1572240,1,2,intro
deam_0076,test,25.5,data/audio_wav/deam_0076.wav,data/labels_1hz,-0.2918422,-0.1496492,1,2,intro
deam_0076,test,26.5,data/audio_wav/deam_0076.wav,data/labels_1hz,-0.3119079,-0.1465116,1,2,intro
deam_0076,test,27.5,data/audio_wav/deam_0076.wav,data/labels_1hz,-0.3472254,-0.1243487,1,2,intro
deam_0076,test,28.5,data/audio_wav/deam_0076.wav,data/labels_1hz,-0.3672136,-0.1171471,1,2,intro
deam_0076,test,29.5,data/audio_wav/deam_0076.wav,data/labels_1hz,-0.3557284,-0.1026362,1,2,intro
deam_0076,test,30.5,data/audio_wav/deam_0076.wav,data/labels_1hz,-0.3787237,-0.0989256,1,2,intro
deam_0076,test,31.5,data/audio_wav/deam_0076.wav,data/labels_1hz,-0.3850893,-0.0738611,1,2,intro
deam_0076,test,32.5,data/audio_wav/deam_0076.wav,data/labels_1hz,-0.3990870,-0.0732201,1,2,intro
deam_0076,test,33.5,data/audio_wav/deam_0076.wav,data/labels_1hz,-0.3911777,-0.0639826,1,2,intro
deam_0076,test,34.5,data/audio_wav/deam_0076.wav,data/labels_1hz,-0.3888535,-0.0617496,1,3,intro
deam_0076,test,35.5,data/audio_wav/deam_0076.wav,data/labels_1hz,-0.3806879,-0.0603091,1,3,intro
deam_0076,test,36.5,data/audio_wav/deam_0076.wav,data/labels_1hz,-0.3931769,-0.0692616,1,3,intro
deam_0076,test,37.5,data/audio_wav/deam_0076.wav,data/labels_1hz,-0.3935483,-0.0623461,1,3,intro
deam_0076,test,38.5,data/audio_wav/deam_0076.wav,data/labels_1hz,-0.3944582,-0.0763541,1,3,intro
deam_0076,test,39.5,data/audio_wav/deam_0076.wav,data/labels_1hz,-0.3797094,-0.0897548,1,3,intro
deam_0076,test,40.5,data/audio_wav/deam_0076.wav,data/labels_1hz,-0.3779004,-0.1042283,1,3,intro
deam_0076,test,41.5,data/audio_wav/deam_0076.wav,data/labels_1hz,-0.3880090,-0.1068153,1,3,intro
deam_0076,test,42.5,data/audio_wav/deam_0076.wav,data/labels_1hz,-0.3928480,-0.1045938,1,3,intro
deam_0076,test,43.5,data/audio_wav/deam_0076.wav,data/labels_1hz,-0.3879010,-0.1175188,1,3,intro
